[2026-07-30 20:35:04] Buyuk koÅŸum basliyor: 780 hasta x 2 doz = 1560 trajectory hedefi (40dk pencere, 6 process)
Transient veri uretimi basliyor [paralel (6 process)]: 780 hasta x 2 doz (hedef 1560 trajectory)...
  [1/1560] trajectory_id=4 hasta=2 doz=0.100 -> 17 kare, truncated=False
  [2/1560] trajectory_id=5 hasta=2 doz=1.000 -> 17 kare, truncated=False
  [3/1560] trajectory_id=1 hasta=0 doz=1.000 -> 17 kare, truncated=False
  [4/1560] trajectory_id=0 hasta=0 doz=0.100 -> 17 kare, truncated=False
  [5/1560] trajectory_id=2 hasta=1 doz=0.100 -> 17 kare, truncated=False
  [6/1560] trajectory_id=3 hasta=1 doz=1.000 -> 17 kare, truncated=False
  [7/1560] trajectory_id=7 hasta=3 doz=1.000 -> 17 kare, truncated=False
  [8/1560] trajectory_id=6 hasta=3 doz=0.100 -> 17 kare, truncated=False
  [9/1560] trajectory_id=9 hasta=4 doz=1.000 -> 17 kare, truncated=False
  [10/1560] trajectory_id=8 hasta=4 doz=0.100 -> 17 kare, truncated=False
  [11/1560] trajectory_id=10 hasta=5 doz=0.100 -> 17 kare, truncated=False
  [12/1560] trajectory_id=11 hasta=5 doz=1.000 -> 17 kare, truncated=False
  [13/1560] trajectory_id=14 hasta=7 doz=0.100 -> 17 kare, truncated=False
  [14/1560] trajectory_id=15 hasta=7 doz=1.000 -> 17 kare, truncated=False
  [15/1560] trajectory_id=12 hasta=6 doz=0.100 -> 17 kare, truncated=False
  [16/1560] trajectory_id=13 hasta=6 doz=1.000 -> 17 kare, truncated=False
  [17/1560] trajectory_id=16 hasta=8 doz=0.100 -> 17 kare, truncated=False
  [18/1560] trajectory_id=17 hasta=8 doz=1.000 -> 17 kare, truncated=False
  [19/1560] trajectory_id=18 hasta=9 doz=0.100 -> 17 kare, truncated=False
  [20/1560] trajectory_id=19 hasta=9 doz=1.000 -> 17 kare, truncated=False
  [21/1560] trajectory_id=20 hasta=10 doz=0.100 -> 17 kare, truncated=False
  [22/1560] trajectory_id=21 hasta=10 doz=1.000 -> 17 kare, truncated=False
  [23/1560] trajectory_id=22 hasta=11 doz=0.100 -> 17 kare, truncated=False
  [24/1560] trajectory_id=23 hasta=11 doz=1.000 -> 17 kare, truncated=False
  [25/1560] trajectory_id=27 hasta=13 doz=1.000 -> 17 kare, truncated=False
  [26/1560] trajectory_id=24 hasta=12 doz=0.100 -> 17 kare, truncated=False
  [27/1560] trajectory_id=28 hasta=14 doz=0.100 -> 17 kare, truncated=False
  [28/1560] trajectory_id=26 hasta=13 doz=0.100 -> 17 kare, truncated=False
  [29/1560] trajectory_id=29 hasta=14 doz=1.000 -> 17 kare, truncated=False
  [30/1560] trajectory_id=25 hasta=12 doz=1.000 -> 17 kare, truncated=False
  [31/1560] trajectory_id=30 hasta=15 doz=0.100 -> 17 kare, truncated=False
  [32/1560] trajectory_id=33 hasta=16 doz=1.000 -> 17 kare, truncated=False
  [33/1560] trajectory_id=31 hasta=15 doz=1.000 -> 17 kare, truncated=False
  [34/1560] trajectory_id=32 hasta=16 doz=0.100 -> 17 kare, truncated=False
  [35/1560] trajectory_id=34 hasta=17 doz=0.100 -> 17 kare, truncated=False
  [36/1560] trajectory_id=35 hasta=17 doz=1.000 -> 17 kare, truncated=False
  [37/1560] trajectory_id=37 hasta=18 doz=1.000 -> 17 kare, truncated=False
  [38/1560] trajectory_id=36 hasta=18 doz=0.100 -> 17 kare, truncated=False
  [39/1560] trajectory_id=41 hasta=20 doz=1.000 -> 17 kare, truncated=False
  [40/1560] trajectory_id=38 hasta=19 doz=0.100 -> 17 kare, truncated=False
  [41/1560] trajectory_id=40 hasta=20 doz=0.100 -> 17 kare, truncated=False
  [42/1560] trajectory_id=39 hasta=19 doz=1.000 -> 17 kare, truncated=False
  [43/1560] trajectory_id=42 hasta=21 doz=0.100 -> 17 kare, truncated=False
  [44/1560] trajectory_id=43 hasta=21 doz=1.000 -> 17 kare, truncated=False
  [45/1560] trajectory_id=44 hasta=22 doz=0.100 -> 17 kare, truncated=False
  [46/1560] trajectory_id=45 hasta=22 doz=1.000 -> 17 kare, truncated=False
  [47/1560] trajectory_id=46 hasta=23 doz=0.100 -> 17 kare, truncated=False
  [48/1560] trajectory_id=47 hasta=23 doz=1.000 -> 17 kare, truncated=False
  [49/1560] trajectory_id=48 hasta=24 doz=0.100 -> 17 kare, truncated=False
  [50/1560] trajectory_id=49 hasta=24 doz=1.000 -> 17 kare, truncated=False
[2026-07-30 20:45:18] 50/1560 trajectory tamamlandý (geçen süre 10.2 dk, tahmini kalan süre 308.0 dk)
  [51/1560] trajectory_id=51 hasta=25 doz=1.000 -> 17 kare, truncated=False
  [52/1560] trajectory_id=50 hasta=25 doz=0.100 -> 17 kare, truncated=False
  [53/1560] trajectory_id=52 hasta=26 doz=0.100 -> 17 kare, truncated=False
  [54/1560] trajectory_id=53 hasta=26 doz=1.000 -> 17 kare, truncated=False
  [55/1560] trajectory_id=54 hasta=27 doz=0.100 -> 17 kare, truncated=False
  [56/1560] trajectory_id=55 hasta=27 doz=1.000 -> 17 kare, truncated=False
  [57/1560] trajectory_id=56 hasta=28 doz=0.100 -> 17 kare, truncated=False
  [58/1560] trajectory_id=57 hasta=28 doz=1.000 -> 17 kare, truncated=False
  [59/1560] trajectory_id=59 hasta=29 doz=1.000 -> 17 kare, truncated=False
  [60/1560] trajectory_id=58 hasta=29 doz=0.100 -> 17 kare, truncated=False
  [61/1560] trajectory_id=60 hasta=30 doz=0.100 -> 17 kare, truncated=False
  [62/1560] trajectory_id=61 hasta=30 doz=1.000 -> 17 kare, truncated=False
  [63/1560] trajectory_id=64 hasta=32 doz=0.100 -> 17 kare, truncated=False
