Transient veri uretimi basliyor: 130 hasta x 2 doz (hedef 260 trajectory)...
  hasta=0 doz=0.100 -> 17 kare, truncated=False, 50.7sn
  hasta=0 doz=1.000 -> 17 kare, truncated=False, 52.5sn
  hasta=1 doz=0.100 -> 17 kare, truncated=False, 51.4sn
  hasta=1 doz=1.000 -> 17 kare, truncated=False, 52.2sn
  hasta=2 doz=0.100 -> 17 kare, truncated=False, 64.5sn
  hasta=2 doz=1.000 -> 17 kare, truncated=False, 50.2sn
  hasta=3 doz=0.100 -> 17 kare, truncated=False, 60.6sn
  hasta=3 doz=1.000 -> 17 kare, truncated=False, 54.4sn
  hasta=4 doz=0.100 -> 17 kare, truncated=False, 52.9sn
  hasta=4 doz=1.000 -> 17 kare, truncated=False, 55.7sn
  hasta=5 doz=0.100 -> 17 kare, truncated=False, 54.0sn
  hasta=5 doz=1.000 -> 17 kare, truncated=False, 54.0sn
  hasta=6 doz=0.100 -> 17 kare, truncated=False, 57.3sn
  hasta=6 doz=1.000 -> 17 kare, truncated=False, 55.5sn
  hasta=7 doz=0.100 -> 17 kare, truncated=False, 54.3sn
  hasta=7 doz=1.000 -> 17 kare, truncated=False, 53.6sn
  hasta=8 doz=0.100 -> 17 kare, truncated=False, 52.9sn
  hasta=8 doz=1.000 -> 17 kare, truncated=False, 52.6sn
  hasta=9 doz=0.100 -> 17 kare, truncated=False, 53.0sn
  hasta=9 doz=1.000 -> 17 kare, truncated=False, 52.5sn
  hasta=10 doz=0.100 -> 17 kare, truncated=False, 55.1sn
  hasta=10 doz=1.000 -> 17 kare, truncated=False, 57.9sn
  hasta=11 doz=0.100 -> 17 kare, truncated=False, 58.9sn
  hasta=11 doz=1.000 -> 17 kare, truncated=False, 50.5sn
  hasta=12 doz=0.100 -> 17 kare, truncated=False, 55.9sn
  hasta=12 doz=1.000 -> 17 kare, truncated=False, 54.6sn
  hasta=13 doz=0.100 -> 17 kare, truncated=False, 54.3sn
  hasta=13 doz=1.000 -> 17 kare, truncated=False, 63.1sn
  hasta=14 doz=0.100 -> 17 kare, truncated=False, 52.0sn
  hasta=14 doz=1.000 -> 17 kare, truncated=False, 52.4sn
  hasta=15 doz=0.100 -> 17 kare, truncated=False, 50.8sn
  hasta=15 doz=1.000 -> 17 kare, truncated=False, 52.0sn
  hasta=16 doz=0.100 -> 17 kare, truncated=False, 55.6sn
  hasta=16 doz=1.000 -> 17 kare, truncated=False, 50.6sn
